CAR X,CAR Y,PED X,PED Y,NORMALIZED PEDESTRIAN POSITION X,NORMALIZED PEDESTRIAN POSITION Y,NORMALIZED PEDESTRIAN DIRECTION,PEDESTRIAN DIRECTION,NORMALIZED CAR DIRECTION,NORMALIZED PEDESTRIAN SPEED,PEDESTRIAN SPEED,NORMALIZED CAR SPEED,CAR SPEED,TTC
0.0,0.0,3.0,5.0,5.0,-2.9999999999999996,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,0.0,2.143131898507868E-16,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,0.5,0.5000000000000002,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,1.0,1.0000000000000002,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,1.5,1.5000000000000002,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,2.0,2.0,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,2.5,2.5,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,3.0,3.0,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,3.5,3.5,-3.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,4.0,4.0,-3.4999999999999996,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,4.5,4.5,-3.4999999999999996,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,3.5,5.0,5.0,-3.4999999999999996,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,0.0,2.4492935982947064E-16,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,0.5,0.5000000000000002,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,1.0,1.0000000000000002,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,1.5,1.5000000000000002,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,2.0,2.0000000000000004,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,2.5,2.5000000000000004,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,3.0,3.0000000000000004,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,3.5,3.5000000000000004,-4.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,4.0,4.0,-3.9999999999999996,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,4.5,4.5,-3.9999999999999996,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.0,5.0,5.0,-3.9999999999999996,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,0.0,2.755455298081545E-16,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,0.5,0.5000000000000002,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,1.0,1.0000000000000002,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,1.5,1.5000000000000002,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,2.0,2.0000000000000004,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,2.5,2.5000000000000004,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,3.0,3.0000000000000004,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,3.5,3.5000000000000004,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,4.0,4.0,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,4.5,4.5,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,4.5,5.0,5.0,-4.5,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,0.0,3.061616997868383E-16,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,0.5,0.5000000000000003,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,1.0,1.0000000000000002,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,1.5,1.5000000000000002,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,2.0,2.0000000000000004,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,2.5,2.5000000000000004,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,3.0,3.0000000000000004,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,3.5,3.5000000000000004,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
0.0,0.0,5.0,4.0,4.0,-5.0,90.0,0.0,90.0,0.0,0.0,12.0,12.0,Infinity
